feature,coefficient,abs_coefficient
Bwd Header Len,8.023638017394719,8.023638017394719
Subflow Bwd Pkts,-2.7927135241554706,2.7927135241554706
Tot Bwd Pkts,-2.7927135241554706,2.7927135241554706
Pkt Len Std,-1.9064476711360276,1.9064476711360276
Fwd Pkts/s,-1.7558301953605062,1.7558301953605062
Bwd Pkts/s,1.7446524283324014,1.7446524283324014
Pkt Len Min,-1.5062930942026826,1.5062930942026826
Bwd Pkt Len Std,1.4133414703034484,1.4133414703034484
Pkt Len Mean,1.1693166686794303,1.1693166686794303
Pkt Len Max,0.9813502259382894,0.9813502259382894
Bwd Pkt Len Max,-0.9227257630349037,0.9227257630349037
Bwd IAT Tot,-0.9198608726192126,0.9198608726192126
Fwd Pkt Len Min,0.7845795855201758,0.7845795855201758
Flow IAT Min,0.7178870203462472,0.7178870203462472
Flow IAT Mean,-0.6535433915429443,0.6535433915429443
Bwd Seg Size Avg,-0.6256180031274889,0.6256180031274889
Bwd Pkt Len Mean,-0.6256180031271337,0.6256180031271337
Flow Duration,0.6246283527691839,0.6246283527691839
Fwd Pkt Len Max,0.5486212521750768,0.5486212521750768
Bwd IAT Mean,0.48841014132067134,0.48841014132067134
Bwd Pkt Len Min,0.4462787584101401,0.4462787584101401
Protocol,0.4391370498251719,0.4391370498251719
Fwd Pkt Len Mean,-0.39810757111156087,0.39810757111156087
Fwd Seg Size Avg,-0.3981075711100692,0.3981075711100692
Pkt Size Avg,0.377370307136542,0.377370307136542
Bwd IAT Max,-0.358661744593449,0.358661744593449
Fwd IAT Tot,-0.32254775105784095,0.32254775105784095
Pkt Len Var,0.3170724773546996,0.3170724773546996
Fwd Act Data Pkts,-0.30331606968926417,0.30331606968926417
Idle Max,0.2751431635178513,0.2751431635178513
ACK Flag Cnt,0.2537759948559988,0.2537759948559988
Flow IAT Max,-0.2481427790189696,0.2481427790189696
Fwd Header Len,0.23098887899605075,0.23098887899605075
Fwd Pkt Len Std,-0.22715210890694953,0.22715210890694953
Idle Mean,-0.22507133689558223,0.22507133689558223
Fwd IAT Min,-0.22445179641233515,0.22445179641233515
Flow IAT Std,0.21876876185901392,0.21876876185901392
SYN Flag Cnt,0.17478814856276276,0.17478814856276276
Fwd IAT Mean,0.14726520994630152,0.14726520994630152
Idle Min,-0.13656251577449088,0.13656251577449088
