feature,importance
Down/Up Ratio,0.5396934640141131
Init Bwd Win Byts,0.2384150843160225
Bwd Pkt Len Mean,0.04902918197372679
Bwd Seg Size Avg,0.039073864114441206
Bwd Header Len,0.028791917995522966
Src Port,0.022329186714000224
Pkt Size Avg,0.018406189793078107
Bwd IAT Tot,0.01576411964058508
Fwd IAT Mean,0.015581936557073931
Dst Port,0.007213257165618058
Bwd IAT Max,0.006915575537912777
Flow IAT Max,0.0039060267969153748
Protocol,0.0034491121687539403
Pkt Len Mean,0.0029739496142910473
Bwd PSH Flags,0.0022095678233948184
Fwd IAT Min,0.0014151759656182666
PSH Flag Cnt,0.0012777001342089455
ACK Flag Cnt,0.0012083547058468695
Fwd IAT Std,0.001202147253386237
TotLen Fwd Pkts,0.0003907255976371696
Subflow Fwd Byts,0.0002858900828775161
Idle Std,0.00027326998043900546
Bwd IAT Std,0.00019430205453583883
Flow Duration,0.0
Tot Fwd Pkts,0.0
Fwd Pkt Len Std,0.0
Fwd Pkt Len Mean,0.0
Fwd Pkt Len Max,0.0
Fwd Pkt Len Min,0.0
TotLen Bwd Pkts,0.0
Tot Bwd Pkts,0.0
Bwd Pkt Len Min,0.0
Bwd Pkt Len Max,0.0
Flow Pkts/s,0.0
Fwd PSH Flags,0.0
Fwd URG Flags,0.0
Bwd URG Flags,0.0
Fwd Header Len,0.0
Bwd IAT Min,0.0
Bwd IAT Mean,0.0
Fwd IAT Max,0.0
Fwd IAT Tot,0.0
Flow IAT Mean,0.0
Flow Byts/s,0.0
Flow IAT Min,0.0
Flow IAT Std,0.0
Bwd Pkt Len Std,0.0
SYN Flag Cnt,0.0
FIN Flag Cnt,0.0
Pkt Len Var,0.0
Pkt Len Std,0.0
Pkt Len Max,0.0
Pkt Len Min,0.0
Bwd Pkts/s,0.0
Fwd Pkts/s,0.0
CWE Flag Count,0.0
Fwd Seg Size Avg,0.0
Fwd Byts/b Avg,0.0
Fwd Pkts/b Avg,0.0
Fwd Blk Rate Avg,0.0
URG Flag Cnt,0.0
ECE Flag Cnt,0.0
RST Flag Cnt,0.0
Bwd Blk Rate Avg,0.0
Bwd Pkts/b Avg,0.0
Bwd Byts/b Avg,0.0
Subflow Bwd Pkts,0.0
Subflow Bwd Byts,0.0
Init Fwd Win Byts,0.0
Fwd Act Data Pkts,0.0
Subflow Fwd Pkts,0.0
Fwd Seg Size Min,0.0
Active Mean,0.0
Active Max,0.0
Active Std,0.0
Active Min,0.0
Idle Mean,0.0
Idle Max,0.0
Idle Min,0.0
