feature,coefficient,abs_coefficient
Bwd Header Len,21.873964522275582,21.873964522275582
Fwd IAT Tot,-7.2903973125618045,7.2903973125618045
Protocol,7.242081962029215,7.242081962029215
Fwd IAT Mean,-6.28743525662339,6.28743525662339
Fwd Pkt Len Std,5.927449087025538,5.927449087025538
Pkt Size Avg,5.870426409869606,5.870426409869606
Flow IAT Min,5.60310282839559,5.60310282839559
Flow Duration,5.231068866041418,5.231068866041418
Fwd IAT Max,4.841453735585576,4.841453735585576
Flow IAT Mean,-4.435336527184292,4.435336527184292
Flow IAT Std,4.25848220660601,4.25848220660601
ACK Flag Cnt,4.1169913881636475,4.1169913881636475
Fwd Pkt Len Max,-3.714740562508859,3.714740562508859
Subflow Bwd Pkts,3.4652489294061373,3.4652489294061373
Tot Bwd Pkts,3.4652489294061373,3.4652489294061373
Init Bwd Win Byts,3.3682602819930665,3.3682602819930665
Flow IAT Max,-3.1221571012505867,3.1221571012505867
Fwd IAT Min,2.9978801548208103,2.9978801548208103
Pkt Len Mean,2.757983035610632,2.757983035610632
Flow Byts/s,-2.6034689104744677,2.6034689104744677
Bwd IAT Max,-2.3713596675407955,2.3713596675407955
Bwd IAT Mean,1.9613648748968697,1.9613648748968697
Fwd Pkt Len Min,-1.6886337473677437,1.6886337473677437
SYN Flag Cnt,1.6880872485979705,1.6880872485979705
Active Mean,-1.6784936938494674,1.6784936938494674
Pkt Len Std,1.512364423863179,1.512364423863179
Fwd Act Data Pkts,1.4166752784158037,1.4166752784158037
Idle Max,-1.2009580047523978,1.2009580047523978
PSH Flag Cnt,1.1539031529155808,1.1539031529155808
Bwd PSH Flags,1.1539031529155808,1.1539031529155808
Down/Up Ratio,1.1225165871391458,1.1225165871391458
Active Max,1.014935379930682,1.014935379930682
Dst Port,0.9698111341690048,0.9698111341690048
Pkt Len Max,-0.9165368988545509,0.9165368988545509
Fwd Seg Size Avg,-0.8876349289683368,0.8876349289683368
Fwd Pkt Len Mean,-0.8876349289683167,0.8876349289683167
Src Port,-0.8506742778222786,0.8506742778222786
Fwd Pkts/s,0.8455552853074108,0.8455552853074108
Fwd Header Len,-0.8204794488936804,0.8204794488936804
Bwd IAT Tot,-0.7850141167853476,0.7850141167853476
