feature,coefficient,abs_coefficient
Bwd Header Len,47.6596754333586,47.6596754333586
Pkt Len Mean,-11.591032903680427,11.591032903680427
Fwd URG Flags,-11.529874437364134,11.529874437364134
Pkt Len Max,-11.399827805965831,11.399827805965831
Pkt Len Std,-11.399694152149307,11.399694152149307
Flow IAT Max,-4.310572869151916,4.310572869151916
Idle Max,4.1171426591992955,4.1171426591992955
Flow Duration,3.732233572933861,3.732233572933861
Bwd IAT Tot,-3.618441462753037,3.618441462753037
Fwd IAT Tot,-3.513275445025993,3.513275445025993
Bwd URG Flags,-3.348395921644553,3.348395921644553
Idle Min,-3.262068783062663,3.262068783062663
TotLen Bwd Pkts,-2.9138607392720397,2.9138607392720397
Subflow Bwd Byts,-2.8982660396176785,2.8982660396176785
Flow IAT Min,2.8607485726935966,2.8607485726935966
Init Bwd Win Byts,-2.546857228484883,2.546857228484883
Fwd IAT Max,2.2163179022668564,2.2163179022668564
Bwd IAT Mean,2.1528559269097816,2.1528559269097816
Flow IAT Mean,-2.110771648024684,2.110771648024684
Idle Std,-1.8749106597017546,1.8749106597017546
Tot Fwd Pkts,-1.6071950261361625,1.6071950261361625
Subflow Fwd Pkts,-1.6039713448809259,1.6039713448809259
Flow IAT Std,1.1823165625239338,1.1823165625239338
Fwd IAT Min,-1.1185873716790837,1.1185873716790837
Down/Up Ratio,1.1044759587941049,1.1044759587941049
Fwd Pkts/s,-0.9583529282261135,0.9583529282261135
Idle Mean,0.953655390751604,0.953655390751604
Pkt Size Avg,-0.9486694493399721,0.9486694493399721
Flow Pkts/s,0.9050173420957696,0.9050173420957696
Pkt Len Var,0.8390799081140624,0.8390799081140624
Fwd Pkt Len Max,-0.8122404963754729,0.8122404963754729
Subflow Fwd Byts,0.7204918580300486,0.7204918580300486
Bwd Pkt Len Max,-0.7154935790636354,0.7154935790636354
Fwd IAT Std,-0.6985477125748653,0.6985477125748653
Dst Port,0.6927613486260875,0.6927613486260875
Fwd Pkt Len Mean,-0.6885439912923143,0.6885439912923143
Subflow Bwd Pkts,0.5701650865801163,0.5701650865801163
Bwd IAT Max,-0.4679455632092534,0.4679455632092534
TotLen Fwd Pkts,0.4239698185337179,0.4239698185337179
Tot Bwd Pkts,0.39475278992114915,0.39475278992114915
