feature,mean_abs_input_weight
Bwd Header Len,0.201873516958889
Src Port,0.19779436628506103
Init Bwd Win Byts,0.1936491877600502
Dst Port,0.18302410185247212
Subflow Fwd Pkts,0.1718630616202007
Pkt Len Min,0.15944772854595568
Fwd Seg Size Avg,0.15506286634538502
Down/Up Ratio,0.14911180856311165
Fwd Header Len,0.14348373643881546
Fwd IAT Tot,0.14097554112123464
Flow Byts/s,0.14003303292075148
Bwd IAT Mean,0.13987301924825732
Bwd IAT Std,0.13926164296013166
Pkt Size Avg,0.13791174827961383
Fwd IAT Min,0.13659734555012432
Bwd IAT Min,0.13162111630707823
Idle Mean,0.13110564517487122
Flow IAT Mean,0.12847293214998967
Fwd Byts/b Avg,0.12353605491360091
Bwd Pkts/b Avg,0.12221399833512536
Pkt Len Mean,0.12205975962332112
Bwd Pkt Len Min,0.1220049123331996
Bwd Seg Size Avg,0.12069223992974439
Fwd Act Data Pkts,0.1200929284171078
Idle Std,0.11977668835828656
Flow IAT Max,0.11970746964389502
Pkt Len Std,0.1197034891788793
Subflow Bwd Pkts,0.11946203279712003
FIN Flag Cnt,0.11896278901918056
Active Std,0.11758475306223808
Fwd PSH Flags,0.11741642386455978
Fwd URG Flags,0.11700144594696642
Active Max,0.11657975347693092
Active Mean,0.11608095588962129
PSH Flag Cnt,0.11570821133680793
Flow Duration,0.11566188317882446
Fwd Pkt Len Std,0.11562074554398488
Active Min,0.11514438523539308
Bwd Pkt Len Mean,0.11484911880471811
Pkt Len Var,0.11479213259391939
