feature,coefficient,abs_coefficient
Flow Pkts/s,4511.295988471565,4511.295988471565
Bwd Pkts/s,-2255.8152602077926,2255.8152602077926
Fwd Pkts/s,-2255.560426302959,2255.560426302959
Pkt Len Max,8.072566683402584,8.072566683402584
Bwd Pkt Len Max,-7.722228742034608,7.722228742034608
Bwd Header Len,6.4933661175188035,6.4933661175188035
Tot Bwd Pkts,-3.2358540162081106,3.2358540162081106
Subflow Bwd Pkts,-3.235852816083707,3.235852816083707
Bwd Pkt Len Min,0.9548923670337961,0.9548923670337961
Pkt Len Min,-0.7028626007554521,0.7028626007554521
Bwd Pkt Len Std,-0.608903122765877,0.608903122765877
Pkt Len Std,0.5950430903849337,0.5950430903849337
Idle Max,-0.3338615876134554,0.3338615876134554
Fwd IAT Mean,-0.32263351043554384,0.32263351043554384
Protocol,0.31174952687306495,0.31174952687306495
Fwd Pkt Len Mean,-0.3075766673721581,0.3075766673721581
Fwd Seg Size Avg,-0.3075758092829801,0.3075758092829801
Active Min,0.28004778150111065,0.28004778150111065
Fwd Pkt Len Max,0.2706594488579664,0.2706594488579664
Active Mean,-0.24580425675222273,0.24580425675222273
Pkt Len Mean,-0.23494862145980733,0.23494862145980733
Bwd IAT Tot,-0.22171668574260006,0.22171668574260006
ACK Flag Cnt,0.20788331083804223,0.20788331083804223
Pkt Size Avg,0.18485057800789662,0.18485057800789662
Flow IAT Std,0.17654345939613403,0.17654345939613403
Pkt Len Var,-0.17517929027928858,0.17517929027928858
Active Std,0.1670772009913435,0.1670772009913435
Fwd IAT Max,0.15395415666118017,0.15395415666118017
Fwd IAT Min,0.14662278152580122,0.14662278152580122
Idle Min,0.1250424642572625,0.1250424642572625
Flow IAT Min,0.1211661667906182,0.1211661667906182
Fwd Pkt Len Min,0.1041898069671096,0.1041898069671096
Active Max,-0.09387545954808729,0.09387545954808729
Bwd IAT Mean,0.09290590841798263,0.09290590841798263
Fwd IAT Tot,0.07512438992533466,0.07512438992533466
Flow Duration,0.07319858938956164,0.07319858938956164
Bwd IAT Std,-0.0696667276852444,0.0696667276852444
Bwd Seg Size Avg,-0.054586845013204766,0.054586845013204766
Bwd Pkt Len Mean,-0.05458649390156228,0.05458649390156228
Src Port,-0.05063013708417596,0.05063013708417596
