feature,importance
Src Port,0.3890497090181578
Flow IAT Max,0.038555256842200444
Flow Byts/s,0.03339226716437196
Bwd Pkts/s,0.033236841574075
Flow IAT Min,0.032928281322821114
Flow Duration,0.03263604375346109
Init Bwd Win Byts,0.03176447821100195
Fwd Pkts/s,0.03151911761219871
Flow IAT Mean,0.031510177024079565
Flow Pkts/s,0.030824485970256447
Bwd IAT Tot,0.018335217605831466
Bwd IAT Std,0.016311588996231616
Fwd IAT Min,0.015843775588545553
Down/Up Ratio,0.01547285516179506
Bwd Header Len,0.015362006548706685
Bwd IAT Max,0.014548856995579194
Pkt Len Var,0.012051392756877439
Dst Port,0.011308189152250092
Bwd IAT Mean,0.01130361747995656
Fwd Header Len,0.010247146795456439
TotLen Fwd Pkts,0.009489331812298296
Bwd PSH Flags,0.009129494425249934
Fwd IAT Std,0.008870199100403285
Pkt Len Std,0.007681525449268608
Fwd IAT Max,0.00709535551875132
PSH Flag Cnt,0.0070462100789773045
Subflow Fwd Pkts,0.006767644461772852
Subflow Fwd Byts,0.006568961898637248
Idle Std,0.006322526965710337
Idle Min,0.006105894759395404
Subflow Bwd Pkts,0.005900183685437066
Fwd IAT Tot,0.0054114832928537525
ACK Flag Cnt,0.005154497424793647
Fwd Act Data Pkts,0.005147068343169782
Fwd Pkt Len Std,0.005130179390713181
Flow IAT Std,0.004977844725440483
Pkt Size Avg,0.004919728869658515
Idle Max,0.004505642566969886
TotLen Bwd Pkts,0.004165797618494644
Fwd Pkt Len Mean,0.0041009308695228895
Tot Bwd Pkts,0.003989271217755357
Fwd IAT Mean,0.0036212620227589767
Active Mean,0.0034719770081173052
Protocol,0.003308804635652712
Bwd IAT Min,0.003274670556042138
Active Max,0.0030357810019551908
Idle Mean,0.0028141969813313384
Active Min,0.0024891599437832294
Fwd Pkt Len Max,0.0024867761668802457
Bwd Seg Size Avg,0.002484976740946354
Tot Fwd Pkts,0.002366392862968234
Fwd Pkt Len Min,0.002276044048411569
Subflow Bwd Byts,0.0021037114622490453
Bwd Pkt Len Mean,0.0017600479792133734
Active Std,0.0017465909453226757
Bwd Pkt Len Std,0.0016862538892075316
Fwd Seg Size Avg,0.0014127927559287512
Bwd Pkt Len Min,0.0010585573331430736
Pkt Len Max,0.0010254363709301033
Bwd Pkt Len Max,0.0010010132233642698
Pkt Len Mean,0.000933173274460562
Pkt Len Min,0.0007035471953801294
SYN Flag Cnt,0.0002558677252739704
Fwd PSH Flags,5.849420276255951e-07
FIN Flag Cnt,5.160979996129673e-07
Fwd Blk Rate Avg,3.0308699402990015e-07
Fwd URG Flags,2.0241988886206418e-07
Init Fwd Win Byts,1.0227473692404984e-07
URG Flag Cnt,8.825109959939108e-08
Bwd URG Flags,8.801285661074227e-08
Fwd Byts/b Avg,2.659335233326234e-09
Fwd Pkts/b Avg,8.261277447738572e-11
Bwd Pkts/b Avg,0.0
Bwd Blk Rate Avg,0.0
CWE Flag Count,0.0
ECE Flag Cnt,0.0
RST Flag Cnt,0.0
Bwd Byts/b Avg,0.0
Fwd Seg Size Min,0.0
