feature,coefficient,abs_coefficient
init bw window bytes,-1.5398653458934062,1.5398653458934062
flow packet APDU length mean,1.0824221390844673,1.0824221390844673
bw total IEC104_U_Message packets,-0.9168400976760862,0.9168400976760862
flow total IEC104_U_Message packets,-0.8849836226293711,0.8849836226293711
fw total IEC104_U_Message packets,-0.7786479469855143,0.7786479469855143
flow IAT mean,0.7336948935270703,0.7336948935270703
flow down/up ratio,0.697105715984886,0.697105715984886
fw IAT min,0.6438642753744931,0.6438642753744931
flow active time mean,-0.6336864423743085,0.6336864423743085
dst port,-0.6099090807061956,0.6099090807061956
bw_subflow_packets,-0.5658490023408611,0.5658490023408611
bw IAT tot,-0.5606347313053207,0.5606347313053207
fw total IEC104_S_Message packets,-0.5442200669098259,0.5442200669098259
fw avg bulk rate,0.48558849603744775,0.48558849603744775
fw avg bytes/bulk,0.4835951442794464,0.4835951442794464
fw avg packets/bulk,0.47767279094822807,0.47767279094822807
fw IAT mean,0.42472549432987144,0.42472549432987144
fw packet APDU length max,-0.4184902547593851,0.4184902547593851
fw IAT std,-0.4078433880331805,0.4078433880331805
init fw window bytes,-0.38208127106634576,0.38208127106634576
bw packet APDU length min,-0.37815846897172495,0.37815846897172495
flow idle time variance,-0.3771256015621767,0.3771256015621767
flow idle time mean,0.3708233404929928,0.3708233404929928
src port,0.3622401391794835,0.3622401391794835
flow packet APDU length std,0.3355053763659666,0.3355053763659666
bw IAT std.1,-0.32186686176469137,0.32186686176469137
fw packet APDU length var,0.3120161214681344,0.3120161214681344
flow packet APDU length var,0.3072116751431242,0.3072116751431242
fw packet APDU length std,0.30659083181221125,0.30659083181221125
type_id_process_information_in_monitor_direction,0.2962573356832081,0.2962573356832081
cot=3,0.2959096659811352,0.2959096659811352
flow total IEC104_I_Message_SingleIOA packets,0.29489303270855355,0.29489303270855355
flow packet APDU length max,0.29195121411341063,0.29195121411341063
flow idle time min,0.2821526359269319,0.2821526359269319
fw packet APDU length mean,0.28148143645996515,0.28148143645996515
flow packets APDU total length,0.2788072658997743,0.2788072658997743
bw total IEC104_I_Message_SingleIOA packets,0.2750068161175949,0.2750068161175949
flow iec104 bytes/s,0.27338907542985924,0.27338907542985924
fw TCP total header length,0.2558762271774282,0.2558762271774282
cot=7,-0.25027938991763465,0.25027938991763465
total flow packets,0.24376663536120294,0.24376663536120294
flow PSH flag count,0.24376663536120294,0.24376663536120294
flow ACK flag count,0.24376663536120294,0.24376663536120294
fw total IEC104_I_Message_SingleIOA packets,0.2431952637469778,0.2431952637469778
