feature,mean_abs_input_weight
init bw window bytes,0.10407420817217625
fw total IEC104_S_Message packets,0.10390713657164147
bw IAT tot,0.10156136908832739
fw IAT std,0.10062113020826845
flow ACK flag count,0.10059824036273812
fw IAT min,0.0996560210186388
flow idle time variance,0.09791902293324492
bw packet APDU length max,0.0975480703268913
fw packet APDU length min,0.09568096553591632
bw_subflow_packets,0.09512499535245249
bw total IEC104_I_Message_SingleIOA packets,0.09457177077629216
fw avg packets/bulk,0.09447482766500528
dst port,0.09406232861550369
flow IAT mean,0.09376635346770364
flow duration,0.09361881155347877
src port,0.09341148151483332
fw iec104 packts/s,0.09307778882426627
total flow packets,0.09289722839490909
cot=3,0.0925918529392748
flow PSH flag count,0.09258343058741733
flow packet APDU length min,0.0918710949778133
bw packets APDU total length,0.09182698643355833
flow idle time min,0.09166447332493896
init fw window bytes,0.09129329421236394
fw iec104 bytes/s,0.09114116956825717
type_id_process_information_in_monitor_direction,0.09079345335395098
bw IAT min,0.09078176435982638
flow active time max,0.09076983075784242
flow packet APDU length std,0.09050299573836044
bw packet APDU length min,0.09045553677274827
fw IAT mean,0.09044151905273023
bw PSH flag amount,0.09031360897418494
flow active time min,0.09028065273167304
bw total IEC104_U_Message packets,0.09025578610194607
fw IAT max,0.09014709244126659
cot=20,0.08994060260362244
bw packet APDU length std,0.08992579235277284
flow active time mean,0.08927567238959255
fw avg bytes/bulk,0.0890718800212861
bw packet APDU length mean,0.08898608086304174
bw IAT std,0.08890546236961398
flow IAT tot,0.08873300630772996
fw packet APDU length var,0.08817898186452638
bw IAT max,0.08802181457557193
flow idle time max,0.08789190896647864
bw total IEC104_S_Message packets,0.08736982244614294
cot=1,0.08715959822920061
bw_subflow_bytes,0.0871390654646918
flow idle time std,0.0870303984304486
fw PSH flag amount,0.08650811205709631
fw_subflow_packets,0.08639612898180432
flow total IEC104_I_Message_SingleIOA packets,0.08624522408269722
missing__bw IAT std.1,0.08620250746851293
bw iec104 packts/s,0.08617674805312042
flow active time variance,0.08597094025042834
fw packet APDU length std,0.08595012975685093
bw avg packets/bulk,0.08559969527090303
bw iec104 bytes/s,0.08522214843695713
fw packets APDU total length,0.08516306412600425
fw_subflow_bytes,0.08508272626678415
fw packet APDU length mean,0.085053206179323
flow idle time mean,0.08503208736850004
bw TCP total header length,0.0847585757632841
flow packet APDU length max,0.08341579628946036
flow packet APDU length var,0.08331744153793175
bw avg bulk rate,0.08326379822896586
cot=10,0.08319319165826353
type_id_system_information_in_control_direction,0.08292005664758174
flow active time std,0.08253671641586574
flow packet APDU length mean,0.08225130933286554
total bw packets,0.08224629624084033
flow total IEC104_S_Message packets,0.08204607124827029
flow packets APDU total length,0.08184592620840486
total fw packets,0.0816609650897964
fw total IEC104_I_Message_SingleIOA packets,0.0815570832757617
fw avg bulk rate,0.08081451367393486
flow IAT min,0.08079079191363533
flow total IEC104_U_Message packets,0.08069968353396628
flow IAT std,0.08060063394231151
flow iec104 packts/s,0.08040226882039883
flow IAT max,0.08037296403594534
flow down/up ratio,0.07999859945948935
bw avg bytes/bulk,0.07961826785888139
bw packet APDU length var,0.07875273249930684
fw iAT tot,0.07829815139957608
cot=7,0.07812072726518265
fw packet APDU length max,0.07796331285502905
fw total IEC104_U_Message packets,0.07769708174554654
type_id_process_information_in_control_direction,0.07766923271184571
flow iec104 bytes/s,0.07735128568562269
cot=9,0.07735071835915723
bw IAT std.1,0.07618015851839319
fw TCP total header length,0.07528807257367309
cot=13,0.07438477150699196
cot=4,0.07324820065882295
fw total IEC104_I_Message_SeqIOA packets,0.07221897990005252
cot=6,0.07026243140762434
cot=5,0.0689660886348981
flow URG flag count,0.06892288546629012
cot=8,0.06890355504416383
flow SYN flag count,0.06875677267459585
flow RST flag count,0.0677678840407254
type_id_system_information_in_monitor_direction,0.06742853043250059
fw URG flag amount,0.0669056427353497
bw total IEC104_I_Message_SeqIOA packets,0.06659440821546578
type_id_parameter_in_control_direction,0.06657584865687684
type_id_file_transfer,0.06574828324124493
flow total IEC104_I_Message_SeqIOA packets,0.06435154915747297
flow CWE flag count,0.06311390541582874
cot=11,0.06232698001342226
cot=12,0.06230598614167223
cot=2,0.061682475413613984
flow ECE flag count,0.06093989365163421
bw URG flag amount,0.05760142088334616
