feature,coefficient,abs_coefficient
init bw window bytes,-2.165322822201798,2.165322822201798
bw packet APDU length min,-1.7162403577430365,1.7162403577430365
flow packet APDU length mean,1.4669003975074983,1.4669003975074983
dst port,-1.2642465594820855,1.2642465594820855
flow IAT mean,1.1677069382030814,1.1677069382030814
fw total IEC104_S_Message packets,-0.9971198999935933,0.9971198999935933
bw total IEC104_U_Message packets,-0.9826788161972959,0.9826788161972959
bw IAT min,0.8919230494907658,0.8919230494907658
flow total IEC104_U_Message packets,-0.867951043179826,0.867951043179826
flow active time mean,-0.8185313385721839,0.8185313385721839
src port,0.8084633152976417,0.8084633152976417
fw packet APDU length var,0.7538089610165603,0.7538089610165603
flow down/up ratio,0.7308510076849788,0.7308510076849788
fw total IEC104_U_Message packets,-0.7264061115557682,0.7264061115557682
fw packet APDU length std,0.7211988082258509,0.7211988082258509
flow total IEC104_S_Message packets,-0.7136666967458546,0.7136666967458546
bw packet APDU length var,0.7051342463527155,0.7051342463527155
bw packet APDU length std,0.6993008661006974,0.6993008661006974
cot=6,0.664575277577676,0.664575277577676
fw avg packets/bulk,0.6406186575464436,0.6406186575464436
fw avg bytes/bulk,0.6326559877394448,0.6326559877394448
fw avg bulk rate,0.6197653994241222,0.6197653994241222
bw iec104 bytes/s,0.6169073091618664,0.6169073091618664
flow total IEC104_I_Message_SingleIOA packets,0.6001900656443867,0.6001900656443867
init fw window bytes,-0.5554517494020694,0.5554517494020694
flow IAT min,0.5542983078674825,0.5542983078674825
fw TCP total header length,0.5282842632959653,0.5282842632959653
bw TCP total header length,-0.5260113590300597,0.5260113590300597
cot=3,0.5212434370530492,0.5212434370530492
bw_subflow_packets,-0.5068470107084306,0.5068470107084306
type_id_process_information_in_monitor_direction,0.5030857829947124,0.5030857829947124
bw PSH flag amount,-0.4902416000667642,0.4902416000667642
total bw packets,-0.4902416000667642,0.4902416000667642
fw IAT max,-0.4783276943792611,0.4783276943792611
fw_subflow_packets,-0.46165385748996013,0.46165385748996013
bw packets APDU total length,-0.45814260073518026,0.45814260073518026
fw IAT min,0.4546295236859639,0.4546295236859639
bw packet APDU length max,0.45094791231462794,0.45094791231462794
cot=7,-0.4441035691361368,0.4441035691361368
flow idle time variance,-0.4435842611794026,0.4435842611794026
flow iec104 bytes/s,0.438100604865706,0.438100604865706
cot=1,-0.389338705281168,0.389338705281168
fw iec104 packts/s,0.3887686794824509,0.3887686794824509
flow idle time min,0.377806917491474,0.377806917491474
flow idle time max,-0.3713913917074436,0.3713913917074436
flow IAT max,-0.3683023744363327,0.3683023744363327
flow packets APDU total length,0.3544087498281917,0.3544087498281917
bw packet APDU length mean,0.3531722168736422,0.3531722168736422
fw IAT std,-0.35111576016506935,0.35111576016506935
flow packet APDU length std,0.3435060131948805,0.3435060131948805
flow iec104 packts/s,0.3388363811850229,0.3388363811850229
fw packet APDU length max,-0.33725444995132525,0.33725444995132525
bw total IEC104_I_Message_SingleIOA packets,0.33280630738389494,0.33280630738389494
bw IAT std.1,-0.3313899122849139,0.3313899122849139
fw total IEC104_I_Message_SingleIOA packets,0.3281308255096429,0.3281308255096429
flow packet APDU length var,0.32810414283918743,0.32810414283918743
flow IAT std,0.2898889022433911,0.2898889022433911
bw total IEC104_S_Message packets,-0.2851616688889664,0.2851616688889664
fw iAT tot,0.2791393348822181,0.2791393348822181
fw iec104 bytes/s,0.24560896943830396,0.24560896943830396
flow idle time mean,0.21756074668893816,0.21756074668893816
fw packets APDU total length,0.21635369240540966,0.21635369240540966
flow idle time std,-0.20197350118728857,0.20197350118728857
bw iec104 packts/s,0.19789729440379977,0.19789729440379977
type_id_process_information_in_control_direction,-0.1827736902019753,0.1827736902019753
missing__bw IAT std.1,0.17532289861270303,0.17532289861270303
fw packet APDU length min,0.16716633028521788,0.16716633028521788
flow active time std,0.16449097758479483,0.16449097758479483
fw packet APDU length mean,0.16202435718583505,0.16202435718583505
flow duration,0.15769115360328617,0.15769115360328617
flow IAT tot,0.1576911532495704,0.1576911532495704
bw IAT max,-0.14938864414957892,0.14938864414957892
bw avg bulk rate,0.13305788538943653,0.13305788538943653
bw avg bytes/bulk,0.13272482843766967,0.13272482843766967
bw avg packets/bulk,0.13272482843766967,0.13272482843766967
cot=10,-0.13099762644102672,0.13099762644102672
bw IAT tot,-0.12175450541467313,0.12175450541467313
fw IAT mean,0.10077034066212695,0.10077034066212695
flow active time min,0.08853158523001518,0.08853158523001518
fw PSH flag amount,0.08374476251383643,0.08374476251383643
total fw packets,0.08374476251383643,0.08374476251383643
flow active time max,-0.05705934973669188,0.05705934973669188
cot=20,0.05286249417007935,0.05286249417007935
bw_subflow_bytes,0.04541383632506788,0.04541383632506788
type_id_system_information_in_control_direction,0.04027451515394005,0.04027451515394005
flow ACK flag count,0.039914590764643175,0.039914590764643175
total flow packets,0.039914590764643175,0.039914590764643175
flow PSH flag count,0.039914590764643175,0.039914590764643175
fw_subflow_bytes,0.02810558358998218,0.02810558358998218
flow packet APDU length min,0.02560608551992264,0.02560608551992264
flow packet APDU length max,-0.021206360176933753,0.021206360176933753
bw IAT std,0.01660086689257536,0.01660086689257536
flow active time variance,-0.007169115053842934,0.007169115053842934
flow total IEC104_I_Message_SeqIOA packets,0.0,0.0
fw total IEC104_I_Message_SeqIOA packets,0.0,0.0
bw URG flag amount,0.0,0.0
flow SYN flag count,0.0,0.0
bw total IEC104_I_Message_SeqIOA packets,0.0,0.0
flow ECE flag count,0.0,0.0
flow CWE flag count,0.0,0.0
flow URG flag count,0.0,0.0
flow RST flag count,0.0,0.0
fw URG flag amount,0.0,0.0
cot=5,0.0,0.0
cot=2,0.0,0.0
cot=4,0.0,0.0
cot=13,0.0,0.0
cot=12,0.0,0.0
cot=11,0.0,0.0
cot=9,0.0,0.0
cot=8,0.0,0.0
type_id_system_information_in_monitor_direction,0.0,0.0
type_id_parameter_in_control_direction,0.0,0.0
type_id_file_transfer,0.0,0.0
