feature,mean_abs_input_weight
init bw window bytes,0.12177578242379045
fw total IEC104_S_Message packets,0.1140082495584491
flow down/up ratio,0.11022302176475482
cot=6,0.10818338791454377
bw IAT mean,0.10795765651188818
fw iec104 packts/s,0.1061146790382465
flow active time mean,0.10571931273384358
fw IAT std,0.1046435598864765
bw TCP total header length,0.10453657171895722
flow active time min,0.10388701445575352
flow iec104 bytes/s,0.10377116553773752
cot=3,0.10375919925233612
fw IAT min,0.10275195940127811
flow idle time max,0.10203453769915914
flow IAT tot,0.10187701074768347
total bw packets,0.10169965239242743
bw_subflow_bytes,0.10147020516936267
flow idle time min,0.10105341953768189
flow active time max,0.10103498578577191
bw IAT min,0.1008966591022861
flow IAT mean,0.10023849374756265
flow IAT min,0.09963856687329425
bw packet APDU length mean,0.09958128870974695
bw packet APDU length std,0.09928811839893831
init fw window bytes,0.09905656861486514
fw PSH flag amount,0.09842635501558143
bw packet APDU length var,0.09819541815718061
flow total IEC104_U_Message packets,0.0981383112229236
fw_subflow_packets,0.09812255432693057
flow total IEC104_I_Message_SingleIOA packets,0.09800183796313894
fw packet APDU length std,0.09798374798129274
fw total IEC104_U_Message packets,0.09759218377831845
fw IAT mean,0.09736760956173882
flow packet APDU length max,0.09723685283220646
flow idle time std,0.09722906299875501
flow packet APDU length std,0.09699062482688293
type_id_process_information_in_monitor_direction,0.09664123088790821
bw packet APDU length min,0.09661991375919848
bw total IEC104_I_Message_SingleIOA packets,0.09573161418880721
fw IAT max,0.09507657039475567
flow IAT std,0.09455882669248694
bw IAT tot,0.09415615779668345
cot=7,0.09359918536902186
fw packet APDU length max,0.09359672551064217
flow ACK flag count,0.09334386531441169
flow idle time mean,0.09333675399537908
type_id_process_information_in_control_direction,0.09316354952852954
flow idle time variance,0.09299131326142336
fw TCP total header length,0.0929306379322967
flow packet APDU length mean,0.09287281358480692
bw packet APDU length max,0.09281810835479207
fw_subflow_bytes,0.09264115796478989
bw total IEC104_U_Message packets,0.09250293717279774
bw PSH flag amount,0.0919102818699406
flow PSH flag count,0.09173893511228676
bw iec104 packts/s,0.0916830043822221
total flow packets,0.09168289932582245
fw avg bulk rate,0.09154794360581607
flow packet APDU length min,0.09130436545820517
fw total IEC104_I_Message_SingleIOA packets,0.09123004907128232
flow iec104 packts/s,0.09085949514220201
bw IAT std,0.09046007255784413
bw IAT max,0.09036104790470767
bw packets APDU total length,0.08967611232545059
fw iec104 bytes/s,0.08958781269975422
flow total IEC104_S_Message packets,0.08930693110282902
flow duration,0.08908924587257136
cot=10,0.08904492398223307
bw total IEC104_S_Message packets,0.08829362566072282
fw packet APDU length var,0.08715935544754652
bw_subflow_packets,0.08699384080978438
fw packet APDU length min,0.08697810313486375
flow packets APDU total length,0.08689042879956274
flow packet APDU length var,0.08634728732874594
flow active time variance,0.0856474799441896
flow active time std,0.0854387646861797
flow CWE flag count,0.08518965662868919
fw packets APDU total length,0.08505573665700658
fw avg packets/bulk,0.0849172596987331
flow IAT max,0.08463885513062551
cot=11,0.08454835075940999
type_id_system_information_in_control_direction,0.08414891744119096
bw iec104 bytes/s,0.08393561111484463
cot=20,0.08347074647477812
fw iAT tot,0.08272395719739684
fw avg bytes/bulk,0.08256790585599968
total fw packets,0.08255756072119547
fw packet APDU length mean,0.08251468002538612
cot=5,0.07997904622827656
flow total IEC104_I_Message_SeqIOA packets,0.07986131643060843
cot=1,0.07983965716081157
flow URG flag count,0.07905710369091762
type_id_system_information_in_monitor_direction,0.07844682680823636
flow RST flag count,0.07700508479395984
bw avg packets/bulk,0.07687645298546641
flow ECE flag count,0.07564134995234734
bw avg bytes/bulk,0.07480939070107849
type_id_parameter_in_control_direction,0.07394227764085082
bw URG flag amount,0.0732166710152555
cot=2,0.07292731360294652
cot=12,0.07255551214391329
type_id_file_transfer,0.07248798112530014
bw total IEC104_I_Message_SeqIOA packets,0.07067105316367892
bw avg bulk rate,0.07054931259022715
fw total IEC104_I_Message_SeqIOA packets,0.06960215841855164
cot=9,0.068798632103829
cot=13,0.0684799794649225
cot=4,0.06770675315301165
fw URG flag amount,0.06531541914838532
flow SYN flag count,0.06331167639237159
cot=8,0.06284456852286803
