feature,coefficient,abs_coefficient
Bwd Header Len,5.955882540907352,5.955882540907352
Flow IAT Std,3.887223687103431,3.887223687103431
Bwd IAT Std,-2.7546205727431112,2.7546205727431112
Bwd Pkt Len Min,2.223291579658639,2.223291579658639
Init Bwd Win Byts,-2.19055077589371,2.19055077589371
Fwd IAT Min,-2.1554469953807622,2.1554469953807622
Flow IAT Max,-2.048725519351708,2.048725519351708
Fwd Pkt Len Std,2.001507306005944,2.001507306005944
ACK Flag Cnt,1.9286296589364413,1.9286296589364413
Flow Pkts/s,-1.9225763125726554,1.9225763125726554
Flow Duration,1.8692428650530541,1.8692428650530541
Fwd Act Data Pkts,-1.6494078008932445,1.6494078008932445
SYN Flag Cnt,1.4545741883643655,1.4545741883643655
Protocol,1.442029458913514,1.442029458913514
Fwd Pkts/s,1.384981029830537,1.384981029830537
Flow IAT Min,1.3408154599543924,1.3408154599543924
Bwd IAT Min,-1.3291422523977396,1.3291422523977396
Flow IAT Mean,-1.2536907540808,1.2536907540808
Bwd Pkt Len Max,-1.1934682343196492,1.1934682343196492
Pkt Len Max,-1.1780740959097875,1.1780740959097875
Subflow Bwd Pkts,-1.1287080688477586,1.1287080688477586
Tot Bwd Pkts,-1.1286928449076965,1.1286928449076965
Pkt Len Var,-1.0637102779830045,1.0637102779830045
Dst Port,-0.9119464855539998,0.9119464855539998
Fwd IAT Std,-0.8862507800288858,0.8862507800288858
Fwd Pkt Len Max,-0.7609038174937984,0.7609038174937984
Bwd PSH Flags,0.6604872300019586,0.6604872300019586
PSH Flag Cnt,0.6604800395113881,0.6604800395113881
Fwd Header Len,0.6393927642542432,0.6393927642542432
Fwd Pkt Len Min,-0.5316348941427602,0.5316348941427602
Bwd IAT Mean,0.52760872650192,0.52760872650192
Bwd Pkts/s,-0.5247233698176952,0.5247233698176952
Pkt Len Std,-0.5208644864304361,0.5208644864304361
Bwd IAT Tot,0.5102133232776893,0.5102133232776893
Pkt Len Mean,0.4869123860085654,0.4869123860085654
Active Max,0.4472140935048108,0.4472140935048108
