source_id,schema_cols,total_rows,dropped_ambiguous_or_missing_label,valid_label_rows,normal_rows,attack_rows,sampled_rows
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS.7z::20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver1/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver1.pcap_Flow.csv,84,18615,0,18615,4058,14557,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS.7z::20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver1/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver1_iec104_only.pcap_Flow.csv,84,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS.7z::20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver2/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver2.pcap_Flow.csv,84,18689,0,18689,4134,14555,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS.7z::20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver2/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver2_iec104_only.pcap_Flow.csv,84,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS.7z::20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver3/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver3.pcap_Flow.csv,84,18860,0,18860,4247,14613,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS.7z::20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver3/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver3_iec104_only.pcap_Flow.csv,84,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS.7z::20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver4/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver4.pcap_Flow.csv,84,18683,0,18683,4125,14558,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS.7z::20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver4/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver4_iec104_only.pcap_Flow.csv,84,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS.7z::20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver5/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver5.pcap_Flow.csv,84,19324,0,19324,4456,14868,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS.7z::20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver5/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver5_iec104_only.pcap_Flow.csv,84,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS.7z::20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver6/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver6.pcap_Flow.csv,84,18892,0,18892,4412,14480,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS.7z::20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver6/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver6_iec104_only.pcap_Flow.csv,84,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS.7z::20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver7/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver7.pcap_Flow.csv,84,18765,0,18765,4286,14479,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS.7z::20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver7/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver7_iec104_only.pcap_Flow.csv,84,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS.7z::20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_qtester/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_qtester.pcap_Flow.csv,84,19160,0,19160,5851,13309,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS.7z::20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_qtester/20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_qtester_iec104_only.pcap_Flow.csv,84,637,0,637,0,637,637
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver1\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver1.pcap_Flow.csv,84,18615,0,18615,4058,14557,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver1\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver1_iec104_only.pcap_Flow.csv,84,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver2\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver2.pcap_Flow.csv,84,18689,0,18689,4134,14555,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver2\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver2_iec104_only.pcap_Flow.csv,84,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver3\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver3.pcap_Flow.csv,84,18860,0,18860,4247,14613,3000
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver3\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver3_iec104_only.pcap_Flow.csv,84,91,0,91,0,91,91
D:\SEM - IV\23ELC212 - Machine Learning\end sem project\datasets\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver4\20200425_UOWM_IEC104_Dataset_m_sp_na_1_DoS_iecserver4.pcap_Flow.csv,84,18683,0,18683,4125,14558,3000
