fpr,tpr,threshold
0.0,0.0,inf
0.0,0.9791004089050431,1.0
0.0,0.9868241708314403,0.995
0.0,0.9909132212630622,0.99
0.0,0.9930334696350144,0.985
0.0,0.9940935938209905,0.98
0.0,0.994396486445555,0.975
0.0,0.9953051643192489,0.97
0.0,0.9962138421929426,0.96
0.0,0.9963652885052249,0.955
0.0,0.9975768590034833,0.935
0.0,0.9980311979403301,0.93
0.0,0.9981826442526125,0.92
0.0,0.9986369831894594,0.91
0.0,0.9987884295017416,0.895
0.0,0.9993942147508709,0.86
0.0,1.0,0.59
0.005025125628140704,1.0,0.105
0.008375209380234505,1.0,0.085
0.010050251256281407,1.0,0.08
0.01340033500837521,1.0,0.075
0.01675041876046901,1.0,0.045
0.021775544388609715,1.0,0.04
0.02512562814070352,1.0,0.03
0.04522613065326633,1.0,0.02
0.051926298157453935,1.0,0.015
0.08040201005025126,1.0,0.01
0.1273031825795645,1.0,0.005
1.0,1.0,0.0
