feature,importance
Src Port,0.40287660721929586
Bwd Pkts/s,0.03785206708550771
Flow Byts/s,0.03677862534655685
Flow Duration,0.03600407079907179
Flow IAT Max,0.03510888970028951
Flow IAT Min,0.03491576504324011
Fwd Pkts/s,0.034749506968742315
Flow Pkts/s,0.03380136215936692
Flow IAT Mean,0.03343152848982103
Init Bwd Win Byts,0.0293584264910786
Down/Up Ratio,0.025376728177363955
Bwd IAT Mean,0.014510418017598385
Fwd IAT Min,0.014195235734460517
Bwd IAT Max,0.011893764803396899
Bwd Header Len,0.010901143130271098
Bwd IAT Std,0.01043578351434768
Fwd IAT Std,0.009496819395510647
Bwd IAT Tot,0.008604117611531459
Fwd Header Len,0.008149540728944646
Dst Port,0.0076093548040507015
Fwd IAT Max,0.007523352395440533
Pkt Len Var,0.006591462206819663
Fwd Act Data Pkts,0.0059416954156139
Fwd IAT Mean,0.005928843058279984
TotLen Fwd Pkts,0.005448800781436647
Tot Fwd Pkts,0.0053504030400279125
Fwd IAT Tot,0.005280599797424834
Subflow Fwd Byts,0.005190042981638578
Pkt Len Std,0.004986086383789858
Subflow Bwd Pkts,0.004877956219985751
Fwd Pkt Len Std,0.004838474064602086
Bwd IAT Min,0.004807777669685449
Idle Min,0.004771630542106318
Flow IAT Std,0.004692174318377016
Protocol,0.004680260591782656
PSH Flag Cnt,0.004311967431607294
Idle Std,0.004254901650889661
Bwd PSH Flags,0.0042182111000947315
Pkt Size Avg,0.004055675878696935
Fwd Pkt Len Mean,0.003989061392693644
Pkt Len Mean,0.003921412096073575
Idle Max,0.003787021966510914
Subflow Fwd Pkts,0.0036685183077399416
Bwd Pkt Len Mean,0.0035853991913676005
Fwd Seg Size Avg,0.0035259098356722547
Tot Bwd Pkts,0.003421485189098773
Idle Mean,0.0030712082405761473
Fwd Pkt Len Max,0.003068571691779155
TotLen Bwd Pkts,0.0029771610884360513
Active Min,0.0029292669699350887
Bwd Seg Size Avg,0.002896693474793341
Subflow Bwd Byts,0.002842838524901867
Fwd Pkt Len Min,0.002830945185435058
ACK Flag Cnt,0.0027811915463309364
Bwd Pkt Len Std,0.002751149010580976
Pkt Len Max,0.002326887108521118
Active Mean,0.0021176738126075165
Active Max,0.0021145231205983357
Active Std,0.002054056084175133
Pkt Len Min,0.001998438809555051
Bwd Pkt Len Max,0.0016769822148341924
Bwd Pkt Len Min,0.001571719955590659
SYN Flag Cnt,0.00025584084122649874
missing__Flow Byts/s,1.7421543005649242e-05
missing__Flow Pkts/s,1.4730927244879726e-05
missing__Idle Std,3.736680254007248e-07
missing__Fwd Seg Size Min,3.192715989468972e-07
missing__Idle Max,2.6610532364217244e-07
missing__Active Std,2.3730670799908163e-07
