feature,importance
Src Port,0.291711673889508
Init Bwd Win Byts,0.24775359971051003
Flow IAT Mean,0.08623454320727049
Flow IAT Min,0.07011774973061513
Bwd Pkt Len Mean,0.06444338224969742
Flow IAT Max,0.05626575511470393
Subflow Bwd Pkts,0.036842498866446145
Flow Duration,0.03075507697665688
Bwd Header Len,0.022952146929821907
Flow Byts/s,0.02101756968980558
Bwd IAT Max,0.009215990136544873
Fwd IAT Mean,0.008733533892902802
Fwd IAT Min,0.005993561876754542
Bwd Pkts/s,0.00591511567017524
Flow Pkts/s,0.0053748883407977515
Fwd IAT Std,0.0034747975841108126
Fwd IAT Tot,0.0030485133319432096
Flow IAT Std,0.002786591314185122
Fwd Pkts/s,0.0027496853929768823
Dst Port,0.0026116965605225144
Idle Mean,0.0026045185291004346
Bwd IAT Min,0.002597247754026187
Idle Min,0.00250754903694894
Fwd IAT Max,0.0022562911731767313
Bwd IAT Mean,0.0021596360691656224
Idle Max,0.0017195469874500314
Active Max,0.0011641394809557843
Active Mean,0.0010971165382561824
Active Min,0.0010058285396850933
Bwd IAT Tot,0.0008113171808010713
Pkt Len Min,0.0006024951039993878
Pkt Size Avg,0.0005084333589161008
Subflow Fwd Pkts,0.00043377721732261524
Bwd IAT Std,0.00032871036621681725
Idle Std,0.0003162543747043417
Pkt Len Var,0.00025751677300957996
Fwd Pkt Len Mean,0.000200310139674437
Active Std,0.00019892015478510376
Bwd Pkt Len Min,0.0001852310388782879
Fwd Header Len,0.000161663722365345
Tot Fwd Pkts,0.0001488927387416929
TotLen Fwd Pkts,0.00014657162847153183
Subflow Fwd Byts,0.00011415910089765918
Pkt Len Std,8.705310092472318e-05
Fwd Pkt Len Std,6.353754962082505e-05
TotLen Bwd Pkts,5.804243763159455e-05
Bwd Pkt Len Max,5.777085955164196e-05
Fwd Act Data Pkts,5.6492880757991395e-05
Pkt Len Mean,4.684623091389292e-05
Fwd Pkt Len Max,3.387216520943175e-05
Pkt Len Max,3.116875296266961e-05
Fwd Seg Size Avg,2.1076013908090875e-05
Subflow Bwd Byts,1.964253502095969e-05
Protocol,0.0
Tot Bwd Pkts,0.0
Fwd Pkt Len Min,0.0
SYN Flag Cnt,0.0
Fwd PSH Flags,0.0
FIN Flag Cnt,0.0
Fwd URG Flags,0.0
Bwd PSH Flags,0.0
Bwd Pkt Len Std,0.0
Bwd URG Flags,0.0
Bwd Blk Rate Avg,0.0
Bwd Pkts/b Avg,0.0
Bwd Byts/b Avg,0.0
Fwd Blk Rate Avg,0.0
Fwd Pkts/b Avg,0.0
Fwd Byts/b Avg,0.0
Bwd Seg Size Avg,0.0
Down/Up Ratio,0.0
PSH Flag Cnt,0.0
ECE Flag Cnt,0.0
CWE Flag Count,0.0
URG Flag Cnt,0.0
RST Flag Cnt,0.0
ACK Flag Cnt,0.0
Fwd Seg Size Min,0.0
Init Fwd Win Byts,0.0
